         9610377 function calls (9601061 primitive calls) in 6.360 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.005    0.005 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/cm.py:32(_gen_cmap_registry)
        3    0.000    0.000    0.005    0.002 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/patches.py:2211(__init_subclass__)
        6    0.000    0.000    0.005    0.001 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/patches.py:2253(pprint_styles)
        1    0.000    0.000    0.004    0.004 /home/lorenzo/Scrivania/lavoro/borsaNOgui/SimulatorDiscreteSync.py:196(ErrorMessages)
     9800    0.004    0.000    0.004    0.000 /home/lorenzo/.local/lib/python3.10/site-packages/igraph/drawing/edge.py:230(euclidean_distance)
        1    0.000    0.000    0.004    0.004 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/font_manager.py:1(<module>)
        1    0.000    0.000    0.004    0.004 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/scale.py:1(<module>)
        6    0.000    0.000    0.004    0.001 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/patches.py:2257(<listcomp>)
        1    0.000    0.000    0.004    0.004 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/tri/__init__.py:1(<module>)
     8786    0.004    0.000    0.004    0.000 {method 'split' of 'str' objects}
     6434    0.003    0.000    0.004    0.000 /usr/lib/python3.10/enum.py:359(__call__)
        1    0.000    0.000    0.004    0.004 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/legend.py:1(<module>)
        1    0.000    0.000    0.004    0.004 /home/lorenzo/.local/lib/python3.10/site-packages/packaging/version.py:1(<module>)
        1    0.000    0.000    0.003    0.003 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/axes/_secondary_axes.py:1(<module>)
       37    0.001    0.000    0.003    0.000 {built-in method builtins.eval}
       13    0.000    0.000    0.003    0.000 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/rcsetup.py:401(validate_font_properties)
     7287    0.003    0.000    0.003    0.000 {method 'expandtabs' of 'str' objects}
       10    0.000    0.000    0.003    0.000 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/_fontconfig_pattern.py:80(parse_fontconfig_pattern)
