         50068 function calls (49873 primitive calls) in 28.666 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/networkx/algorithms/cycles.py:282(<genexpr>)
      214    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       23    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/tqdm/std.py:153(__init__)
       42    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/mosaik/scheduler.py:529(treat_cycling_output)
      596    0.000    0.000    0.000    0.000 {built-in method time.time}
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/loguru/_datetime.py:13(__format__)
       88    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/google/protobuf/json_format.py:755(_ConvertInteger)
      501    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/simpy/events.py:78(triggered)
       21    0.000    0.000    0.000    0.000 /usr/lib/python3.8/pathlib.py:718(__str__)
       88    0.000    0.000    0.000    0.000 {method 'get' of 'DescriptorMapping' objects}
      119    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/google/protobuf/json_format.py:272(_FieldToJsonObject)
       11    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
       42    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/mosaik/scheduler.py:628(<listcomp>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/multiprocessing/synchronize.py:186(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/multiprocessing/synchronize.py:50(__init__)
       22    0.000    0.000    0.000    0.000 {method 'add' of 'google.protobuf.pyext._message.RepeatedCompositeContainer' objects}
       21    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/simpy/io/codec.py:112(encode)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/tqdm/utils.py:213(__init__)
       27    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/numpy/lib/function_base.py:871(copy)
       21    0.000    0.000    0.000    0.000 /usr/lib/python3.8/pathlib.py:691(_from_parsed_parts)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
       42    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/google/protobuf/json_format.py:376(_IsWrapperMessage)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/tqdm/_monitor.py:30(__init__)
       21    0.000    0.000    0.000    0.000 /usr/lib/python3.8/_weakrefset.py:38(_remove)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
       31    0.000    0.000    0.000    0.000 {built-in method posix.stat}
       70    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/networkx/classes/graph.py:489(__getitem__)
      540    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      110    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/multiprocessing/util.py:10(<module>)
      482    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/mosaik/scenario.py:669(create_simulator_ranking)
        1    0.000    0.000    0.000    0.000 /root/models/cosima_core/mosaik_sim/SimulatorDiscreteCosima.py:461(process)
       27    0.000    0.000    0.000    0.000 {built-in method numpy.array}
       92    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/mosaik/scheduler.py:180(<genexpr>)
     70/1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/abc.py:100(__subclasscheck__)
       44    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/simpy/events.py:536(_remove_check_callbacks)
     70/1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       23    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/tqdm/std.py:167(colour)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/networkx/utils/decorators.py:1041(signature)
       44    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/simpy/events.py:519(_populate_value)
        1    0.000    0.000    0.000    0.000 /root/models/cosima_core/mosaik_sim/SimulatorDiscreteCosima.py:241(Opti_LocDec_State)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/simpy/events.py:264(_interrupt)
